"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"25280","1783","1783","1783","0.5759","0.5759","0.5759"
"25359","1789","1789","1789","0.5807","0.5807","0.5807"
"25438","1794","1794","1794","0.5726","0.5726","0.5726"
"25517","1800","1800","1800","0.582","0.582","0.582"
"25596","1805","1805","1805","0.5846","0.5846","0.5846"
"25675","1811","1811","1811","0.5768","0.5768","0.5768"
"25754","1817","1817","1817","0.5789","0.5789","0.5789"
"25833","1822","1822","1822","0.5798","0.5798","0.5798"
"25912","1828","1828","1828","0.577","0.577","0.577"
"25991","1833","1833","1833","0.5824","0.5824","0.5824"
"26070","1839","1839","1839","0.5731","0.5731","0.5731"
"26149","1844","1844","1844","0.577","0.577","0.577"
"26228","1850","1850","1850","0.5764","0.5764","0.5764"
"26307","1856","1856","1856","0.5751","0.5751","0.5751"
"26386","1861","1861","1861","0.5783","0.5783","0.5783"
"26465","1867","1867","1867","0.5753","0.5753","0.5753"
"26544","1872","1872","1872","0.5792","0.5792","0.5792"
"26623","1878","1878","1878","0.5828","0.5828","0.5828"
"26702","1884","1884","1884","0.5813","0.5813","0.5813"
"26781","1889","1889","1889","0.575","0.575","0.575"
"26860","1895","1895","1895","0.5783","0.5783","0.5783"
"26939","1900","1900","1900","0.5747","0.5747","0.5747"
"27018","1906","1906","1906","0.5751","0.5751","0.5751"
"27097","1911","1911","1911","0.5783","0.5783","0.5783"
"27176","1917","1917","1917","0.5799","0.5799","0.5799"
"27255","1923","1923","1923","0.5798","0.5798","0.5798"
"27334","1928","1928","1928","0.5833","0.5833","0.5833"
"27413","1934","1934","1934","0.5813","0.5813","0.5813"
"27492","1939","1939","1939","0.577","0.577","0.577"
"27571","1945","1945","1945","0.581","0.581","0.581"
"27650","1951","1951","1951","0.5813","0.5813","0.5813"
"27729","1956","1956","1956","0.5795","0.5795","0.5795"
"27808","1962","1962","1962","0.5855","0.5855","0.5855"
"27887","1967","1967","1967","0.5795","0.5795","0.5795"
"27966","1973","1973","1973","0.5811","0.5811","0.5811"
"28045","1978","1978","1978","0.5762","0.5762","0.5762"
"28124","1984","1984","1984","0.5746","0.5746","0.5746"
"28203","1990","1990","1990","0.5772","0.5772","0.5772"
"28282","1995","1995","1995","0.5838","0.5838","0.5838"
"28361","2001","2001","2001","0.5788","0.5788","0.5788"
"28440","2006","2006","2006","0.5774","0.5774","0.5774"
"28519","2012","2012","2012","0.5754","0.5754","0.5754"
"28598","2017","2017","2017","0.5837","0.5837","0.5837"
"28677","2023","2023","2023","0.5841","0.5841","0.5841"
"28756","2029","2029","2029","0.5836","0.5836","0.5836"
"28835","2034","2034","2034","0.5812","0.5812","0.5812"
"28914","2040","2040","2040","0.5833","0.5833","0.5833"
"28993","2045","2045","2045","0.5832","0.5832","0.5832"
"29072","2051","2051","2051","0.5828","0.5828","0.5828"
"29151","2057","2057","2057","0.5797","0.5797","0.5797"
"29230","2062","2062","2062","0.5863","0.5863","0.5863"
"29309","2068","2068","2068","0.578","0.578","0.578"
"29388","2073","2073","2073","0.5845","0.5845","0.5845"
